sample_id	accession	phage_name	host_group	host_species	genome_size_bp	notes
phiFN37	OR492271.1	phiFN37	Fusobacterium	Fusobacterium necrophorum	85015	PMC11304844
phiFN38	OR492272.1	phiFN38	Fusobacterium	Fusobacterium necrophorum	37000	PMC11304844
phiBB	OR492273.1	phiBB	Fusobacterium	Fusobacterium necrophorum	36000	PMC11304844; temperate by VIBRANT+BacPhlip
phiPaco	OR492274.1	phiPaco	Fusobacterium	Fusobacterium necrophorum	43000	PMC11304844
phiHugo	OR492275.1	phiHugo	Fusobacterium	Fusobacterium necrophorum	35000	PMC11304844
phiKSUM	OR492276.1	phiKSUM	Fusobacterium	Fusobacterium necrophorum	111401	PMC11304844; lytic (0.995 BacPhlip)
Fnu1	NC_055035.1	Fnu1	Fusobacterium	Fusobacterium nucleatum	130914	RefSeq
FNU2	OQ808963.1	vB_FnuS_FNU2	Fusobacterium	Fusobacterium nucleatum	104039
FNU3	OQ808965.1	vB_FnuS_FNU3	Fusobacterium	Fusobacterium nucleatum	97905
TCUFN6	OP004060.1	TCUFN6	Fusobacterium	Fusobacterium nucleatum	131515
TCUFN3	PQ464787.1	TCUFN3	Fusobacterium	Fusobacterium nucleatum	127354
JDFnp1	ON464759.1	JD-Fnp1	Fusobacterium	Fusobacterium nucleatum	180066
JDFnp6	ON464763.1	JD-Fnp6	Fusobacterium	Fusobacterium nucleatum	178458
JDFnp4	ON464764.1	JD-Fnp4	Fusobacterium	Fusobacterium nucleatum	180231
JDFnp7	PV175345.1	JD-Fnp7	Fusobacterium	Fusobacterium nucleatum	174521
Pg_phage019b	PP754931.1	phage019b_ATCC49417	Porphyromonas	Porphyromonas gingivalis	48032	oral anaerobe
Pg_phage010a	PP754930.1	phage010a_HG1691old	Porphyromonas	Porphyromonas gingivalis	33222	oral anaerobe
Pg_phage007a	PP754929.1	phage007a_Bg4	Porphyromonas	Porphyromonas gingivalis	35050	oral anaerobe
Pg_phage005b	PP754928.1	phage005b_ATCC49417	Porphyromonas	Porphyromonas gingivalis	48681	oral anaerobe
Cd_phiCD27	NC_011398.1	phiCD27	C_difficile	Clostridioides difficile	50930	RefSeq; well-characterized
Cd_phiCD508	OR295560.1	phiCD508	C_difficile	Clostridioides difficile	49272
Cd_phiCDKH02	PP767789.1	phiCDKH02	C_difficile	Clostridioides difficile	55997
Cd_AR1086	OR397124.1	AR1086-1	C_difficile	Clostridioides difficile	130030	large myovirus
Cd_AR1074	OR397123.1	AR1074-1	C_difficile	Clostridioides difficile	38059
Cd_AR1075	OQ703261.1	AR1075-1	C_difficile	Clostridioides difficile	41195
Cd_phiSemix9P1	KX905163.1	phiSemix9P1	C_difficile	Clostridioides difficile	56606
Cd_phiCD418	MW512573.1	phiCD418	C_difficile	Clostridioides difficile	53311
Cd_phiCD08011	MW512572.1	phiCD08011	C_difficile	Clostridioides difficile	31394
Cd_CD2301	MW512571.1	CD2301	C_difficile	Clostridioides difficile	38695
Cd_CD1801	MW512570.1	CD1801	C_difficile	Clostridioides difficile	44363
Cd_JD032	MK473382.1	JD032	C_difficile	Clostridium difficile	35109
Cd_JD033	MT193276.1	JD033	C_difficile	Clostridioides difficile	35144
Cd_phiCDKH01	MN718463.1	phiCDKH01	C_difficile	Clostridium difficile	45089
Cd_LIBA2945	MF547663.1	LIBA2945	C_difficile	Clostridioides difficile	132508	large myovirus
Cd_LIBA6276	MF547662.1	LIBA6276	C_difficile	Clostridioides difficile	134243	large myovirus
Cd_HainSaunders	CP103806.1	Hain-Saunders-2022a	C_difficile	Clostridioides difficile	35072
Kp_phiW14	NC_105446.1	phiW14	Klebsiella	Klebsiella pneumoniae	50247	RefSeq
Kp_Solomon	NC_103145.1	Solomon	Klebsiella	Klebsiella aerogenes	51775	RefSeq; different Klebsiella species
Kp_Penguinator	NC_100761.1	vB_KpnS_Penguinator	Klebsiella	Klebsiella pneumoniae	51678	RefSeq
Kp_Opt817	NC_105496.1	vB_KpnD_Opt-817	Klebsiella	Klebsiella pneumoniae	48988	RefSeq; KpnD family
Kp_P1	NC_129957.1	P1	Klebsiella	Klebsiella pneumoniae	50675	RefSeq
Kp_NPat	NC_106517.1	NPat	Klebsiella	Klebsiella pneumoniae	48715	RefSeq
Kp_PWKp20	NC_105644.1	PWKp20	Klebsiella	Klebsiella pneumoniae	51939	RefSeq
Kp_B1	NC_104812.1	B1	Klebsiella	Klebsiella pneumoniae	50040	RefSeq
Kp_IME268	NC_129956.1	IME268	Klebsiella	Klebsiella pneumoniae	49552	RefSeq
Kp_FairDinkum	NC_105416.1	vB_KpnD_FairDinkum	Klebsiella	Klebsiella pneumoniae	49111	RefSeq; KpnD family
Pa_VIPEUCMC01	NC_130827.1	vB_VIPPAEUMC01	Pseudomonas	Pseudomonas aeruginosa	92158	RefSeq; large myovirus
Pa_POR1	NC_093432.1	POR1	Pseudomonas	Pseudomonas aeruginosa	55349	RefSeq
Pa_UMP151	NC_074747.1	UMP151	Pseudomonas	Pseudomonas aeruginosa	41303	RefSeq
Pa_BUCT566	NC_074664.1	BUCT566	Pseudomonas	Pseudomonas aeruginosa	49154	RefSeq
